id,policy_id,condition_key,operator,expected_value,required,question_id,source_text
54,13,HOME_PURCHASE_STATUS,EQ,PLANNED_OR_CONTRACTED,true,25,주택 구입
55,14,CHILD_BIRTH_DATE,IN_PERIOD,OFFICIAL_PERIOD,true,13,대출접수일 기준 출산 기간
56,14,HOME_OWNERSHIP,EQ,HOUSELESS,true,5,무주택
57,14,HOUSEHOLD_INCOME,LTE,OFFICIAL_THRESHOLD,true,6,출산가구 소득 기준
58,14,HOME_PURCHASE_STATUS,EQ,PLANNED_OR_CONTRACTED,true,25,주택 구입
59,15,CHILD_BIRTH_DATE,IN_PERIOD,OFFICIAL_PERIOD,true,13,대출접수일 기준 출산 기간
60,15,HOME_OWNERSHIP,EQ,HOUSELESS,true,5,무주택
61,15,HOUSEHOLD_INCOME,LTE,OFFICIAL_THRESHOLD,true,6,출산가구 소득 기준
62,15,RENT_CONTRACT_STATUS,EQ,SIGNED,true,9,임대차계약
63,16,WEDDING_STATUS,IN,PLANNED|RESERVED,true,10,예식 예정
64,16,SEOUL_LIVING_CONNECTION,EQ,YES,true,26,서울 거주·생활권 또는 부모 서울 거주 등 운영기준 확인
65,16,VENUE_AVAILABILITY,EQ,AVAILABLE,true,27,공공예식장 일정 확인
66,17,RELATED_POLICY_USED,CONTAINS,POLICY_16,true,20,더 아름다운 결혼식 지정 공공예식장 이용
67,17,WEDDING_STATUS,EQ,RESERVED,true,10,예식 예약
68,17,APPLICATION_BEFORE_EVENT,EQ,YES,true,28,예식일 이전 신청기한 준수
69,18,MARRIAGE_REGISTRATION_DATE,IN_PERIOD,2025-07-14_OR_LATER,true,3,2025 시범사업 기준
70,18,RESIDENCE_REGION,EQ,SEOUL_OR_SPOUSE,true,1,부부 중 1인 이상 서울 거주
71,18,RESIDENCE_DURATION_DAYS,GTE,180,true,4,신청일 이전 180일 이상
72,18,HOUSEHOLD_INCOME,LTE,MEDIAN_120_PERCENT,true,6,2025 시범사업 중위소득 120%
73,18,RELATED_POLICY_USED,NOT_CONTAINS,POLICY_17,true,20,비품비 지원과 중복 제한
74,18,EXPENSE_RECEIPT_EXISTS,EQ,YES,true,29,결혼·살림 지출 증빙
75,19,RELATED_POLICY_USED,CONTAINS,POLICY_16,true,20,2026년 더 아름다운 결혼식 예약자
76,19,WEDDING_DATE,GTE,2026-01-01,true,30,2026년 예식 예약자
77,20,MARRIAGE_REGISTRATION_DATE,BETWEEN,2024-01-01|2026-12-31,true,3,2024~2026년 중 혼인신고
78,20,TAX_YEAR,IN,2024|2025|2026,true,31,해당 귀속연도
79,20,PREVIOUSLY_CLAIMED,EQ,NO,true,32,생애 1회
80,21,CHILD_COUNT,GTE,1,true,12,기본공제 대상 자녀
81,21,CHILD_AGE,GTE,8,true,33,기본공제 대상 자녀 연령 요건
82,21,TAX_DEPENDENT,EQ,YES,true,34,기본공제 대상
83,22,CHILD_BIRTH_DATE,IN_TAX_YEAR,TAX_YEAR,true,13,해당 과세기간 출산
84,22,BIRTH_OR_ADOPTION,IN,BIRTH|ADOPTION,true,35,출산 또는 입양 신고
85,23,HOME_OWNERSHIP,EQ,HOUSELESS,true,5,무주택 요건
86,23,RENT_PAYMENT_EXISTS,EQ,YES,true,36,월세 지급
87,23,HOUSEHOLD_INCOME,LTE,OFFICIAL_THRESHOLD,true,6,총급여·종합소득 기준
88,23,RENT_CONTRACT_ADDRESS_MATCH,EQ,YES,true,37,주민등록 주소와 임대차계약 주소
89,24,HOME_OWNERSHIP,EQ,HOUSELESS,true,5,무주택 세대주
90,24,SUBSCRIPTION_SAVINGS_PAYMENT,EQ,YES,true,38,청약저축 납입
91,24,HOUSEHOLD_INCOME,LTE,OFFICIAL_THRESHOLD,true,6,총급여 기준
92,25,EMPLOYMENT_STATUS,EQ,EMPLOYEE,true,39,근로소득자
93,25,CHILD_AGE,LTE,6,true,33,출산·보육수당 대상 자녀
94,25,EMPLOYER_ALLOWANCE,EQ,YES,true,40,사용자로부터 출산·보육수당 수령
95,26,RESIDENCE_REGION,EQ,SEOUL,true,1,서울 거주
96,26,PREGNANCY_OR_POSTPARTUM,IN,PREGNANT|POSTPARTUM,true,11,임신 확인 후부터 출산 후 신청기한 내
97,26,RESIDENCE_DURATION_MONTHS,GTE,3,true,4,2026-07-01 이후 신청 건 거주요건
98,26,OWN_CARD_AVAILABLE,EQ,YES,true,41,본인 명의 협약 카드
99,27,RESIDENCE_REGION,EQ,SEOUL,true,1,서울 거주 산모
100,27,CHILD_BIRTH_DATE,IN_PERIOD,OFFICIAL_PERIOD,true,13,출산일 및 신청기한
101,27,MOTHER_APPLICANT,EQ,YES,true,42,산모 기준 신청
102,28,CHILD_BIRTH_REGISTERED,EQ,YES,true,43,출생신고 완료
103,28,CHILD_NATIONALITY_OR_RESIDENCY,EQ,ELIGIBLE,true,44,출생아 주민등록 등 요건
104,29,CHILD_AGE_MONTHS,LTE,23,true,45,만 0~1세 중심
105,29,CHILDCARE_TYPE,IN,HOME|DAYCARE,true,46,가정양육 또는 보육서비스
106,30,CHILD_AGE_MONTHS,LT,96,true,45,만 8세 미만
107,30,CHILD_BIRTH_REGISTERED,EQ,YES,true,43,주민등록
108,31,CHILD_AGE,LTE,12,true,33,서비스 대상 연령
109,31,CARE_GAP,EQ,YES,true,47,맞벌이·질병 등 양육공백
110,31,HOUSEHOLD_INCOME,ANY,ALL,false,6,소득에 따라 정부지원 비율 차등
111,32,RESIDENCE_REGION,EQ,SEOUL,true,1,서울 거주
112,32,CHILD_AGE_MONTHS,IN,24_TO_36_OR_ANNOUNCEMENT,true,45,공고상 아동 연령
113,32,HOUSEHOLD_INCOME,LTE,MEDIAN_INCOME_THRESHOLD,true,6,소득 기준
114,32,CARE_PROVIDER,IN,RELATIVE|PRIVATE,true,48,친인척 또는 민간 돌봄
115,33,RESIDENCE_REGION,EQ,SEOUL,true,1,서울 출산가정
116,33,CHILD_AGE_MONTHS,LTE,24_OR_LOCAL_STANDARD,true,45,보건소별 방문대상 확인
117,33,HOME_VISIT_CONSENT,EQ,YES,true,49,가정방문 동의
118,34,CHILD_BIRTH_DATE,IN_PERIOD,APPLICATION_PERIOD,true,13,출산 전후 신청기한
119,34,HOUSEHOLD_INCOME,LTE,TYPE_THRESHOLD_OR_EXCEPTION,false,6,유형별 소득기준·예외
120,34,SERVICE_NEEDED,EQ,YES,true,50,산후 건강관리 서비스 필요
121,35,PREGNANCY_CONFIRMED,EQ,YES,true,51,임신확인
122,35,HEALTH_INSURANCE_ELIGIBLE,EQ,YES,true,52,건강보험 가입·피부양 등
123,36,RESIDENCE_REGION,EQ,SEOUL,true,1,서울 거주
124,36,EMPLOYMENT_STATUS,IN,SELF_EMPLOYED|FREELANCER|PLATFORM_WORKER,true,39,1인 자영업자 등
125,36,CHILD_BIRTH_DATE,IN_PERIOD,OFFICIAL_PERIOD,true,13,출산일 기준
126,37,RESIDENCE_REGION,EQ,SEOUL,true,1,본인과 출산자녀 서울 거주 등
127,37,EMPLOYMENT_STATUS,IN,SELF_EMPLOYED|FREELANCER|PLATFORM_WORKER,true,39,1인 자영업자 등
128,37,SPOUSE_GAVE_BIRTH,EQ,YES,true,53,배우자 출산
129,37,LEAVE_DAYS,LTE,10,true,54,최대 10일분
130,38,RESIDENCE_REGION,EQ,SEOUL,true,1,서울시 사업주·근로자
131,38,EMPLOYMENT_STATUS,IN,SMALL_BUSINESS_OWNER|SMALL_BUSINESS_EMPLOYEE|WLB_COMPANY_EMPLOYEE,true,39,사업 참여대상
132,38,CHILD_AGE_MONTHS,BETWEEN,3|144,true,45,3개월~12세
133,38,APPLICATION_PERIOD_OPEN,EQ,YES,true,55,연도별 모집기간
